llama_batched_bench: n_kv_max = 65536, n_batch = 2048, n_ubatch = 512, flash_attn = 1, is_pp_shared = 0, is_tg_separate = 0, n_gpu_layers = 999, n_threads = 24, n_threads_batch = 24

|    PP |     TG |    B |   N_KV |   T_PP s | S_PP t/s |   T_TG s | S_TG t/s |      T s |    S t/s |
|-------|--------|------|--------|----------|----------|----------|----------|----------|----------|
|   512 |    128 |    1 |    640 |    0.522 |   981.53 |    4.198 |    30.49 |    4.720 |   135.59 |
|   512 |    128 |    2 |   1280 |    1.126 |   909.07 |    5.450 |    46.98 |    6.576 |   194.64 |
|   512 |    128 |    4 |   2560 |    2.236 |   915.78 |    6.550 |    78.16 |    8.787 |   291.35 |
|   512 |    128 |    6 |   3840 |    3.364 |   913.32 |    8.658 |    88.70 |   12.022 |   319.42 |
|   512 |    128 |    8 |   5120 |    4.509 |   908.46 |   10.430 |    98.18 |   14.938 |   342.74 |
|   512 |    128 |    9 |   5760 |    5.089 |   905.56 |   58.453 |    19.71 |   63.541 |    90.65 |
|   512 |    128 |   10 |   6400 |    5.575 |   918.42 |   57.041 |    22.44 |   62.616 |   102.21 |
|   512 |    128 |   12 |   7680 |    6.719 |   914.41 |   52.280 |    29.38 |   58.999 |   130.17 |
|   512 |    128 |   16 |  10240 |    8.994 |   910.80 |   45.095 |    45.42 |   54.089 |   189.32 |
|   512 |    128 |   24 |  15360 |   13.551 |   906.79 |   33.340 |    92.14 |   46.891 |   327.57 |
|   512 |    128 |   32 |  20480 |   18.126 |   903.92 |   29.346 |   139.58 |   47.471 |   431.42 |
